Time,AudienceCount,Engaged,AttentionRate,AvgDwell,PeakAudience,QRInteractions
2026-08-17 09:14:51,1,0,0.0,0.0,1,0
2026-08-17 09:15:18,1,0,0.0,0.0,2,0
